head_node	edge_relation 	head_node edge_relation /r/Antonymhead ofnode edge
him	/r/RelatedTo 	him /r/RelatedTofictional creature
her	/r/RelatedTo 	her /r/RelatedToherb
herself	/r/RelatedTo 	herself /r/RelatedToheritage site
himself	/r/RelatedTo 	himself /r/RelatedTogag
his	/r/RelatedTo 	his /r/RelatedTokinship
woman	/r/RelatedTo 	woman /r/RelatedTosociologist
man	/r/RelatedTo 	man /r/RelatedTomusical direction
female	/r/RelatedTo 	female /r/RelatedTogroup
male	/r/RelatedTo 	male /r/RelatedTohumanoid
lady	/r/RelatedTo 	lady /r/RelatedTomeeting
gentleman	/r/RelatedTo 	gentleman /r/RelatedTogentleman
ladies	/r/RelatedTo 	ladies /r/RelatedToboys club
gentlemen	/r/RelatedTo 	gentlemen /r/RelatedTogentlemen
girl	/r/RelatedTo 	girl /r/RelatedTocricket star
boy	/r/RelatedTo 	boy /r/RelatedTosports terminology
sir	/r/RelatedTo 	sir /r/RelatedTowasteful taste
ma am	/r/RelatedTo 	ma am /r/RelatedTometa category of measurement
mother	/r/RelatedTo 	mother /r/RelatedTofather
father	/r/RelatedTo 	father /r/RelatedTomale human
stepmother	/r/RelatedTo 	stepmother /r/RelatedTocaternal grandmother
stepfather	/r/RelatedTo 	stepfather /r/RelatedTofamily name
daughter	/r/RelatedTo 	daughter /r/RelatedTooccupation
son	/r/RelatedTo 	son /r/RelatedToassociate
sister	/r/RelatedTo 	sister /r/RelatedTobrother
brother	/r/RelatedTo 	brother /r/RelatedTobrother
grandmother	/r/RelatedTo 	grandmother /r/RelatedTodaughter
grandfather	/r/RelatedTo 	grandfather /r/RelatedTochild
mommy	/r/RelatedTo 	mommy /r/RelatedTodude
daddy	/r/RelatedTo 	daddy /r/RelatedTopaternal son
wife	/r/RelatedTo 	wife /r/RelatedTosister
husband	/r/RelatedTo 	husband /r/RelatedTofemale human
bride	/r/RelatedTo 	bride /r/RelatedTocompassion
groom	/r/RelatedTo 	groom /r/RelatedTogroom
girlfriend	/r/RelatedTo 	girlfriend /r/RelatedTosouthern woman
boyfriend	/r/RelatedTo 	boyfriend /r/RelatedToboyfriend activity
schoolgirl	/r/RelatedTo 	schoolgirl /r/RelatedTomagazine character
schoolboy	/r/RelatedTo 	schoolboy /r/RelatedTosports video game
sharia	/r/RelatedTo 	sharia /r/RelatedToislam
jihad	/r/RelatedTo 	jihad /r/RelatedTojihadism
christian	/r/RelatedTo 	christian /r/RelatedTochristian worship
muslim	/r/RelatedTo 	muslim /r/RelatedTomusical style
islam	/r/RelatedTo 	islam /r/RelatedToyume
hindu	/r/RelatedTo 	hindu /r/RelatedTohindu
mohammed	/r/RelatedTo 	mohammed /r/RelatedTonursing
church	/r/RelatedTo 	church /r/RelatedTohistorical country
quran	/r/RelatedTo 	quran /r/RelatedToscholarly article
bible	/r/RelatedTo 	bible /r/RelatedTopropaganda
brahmin	/r/RelatedTo 	brahmin /r/RelatedToherb
holy trinity	/r/RelatedTo 	holy trinity /r/RelatedTomythical character
barber	/r/RelatedTo 	barber /r/RelatedTobarber
coach	/r/RelatedTo 	coach /r/RelatedTosports discipline
businessperson	/r/RelatedTo 	businessperson /r/RelatedTobusinessperson
football player	/r/RelatedTo 	football player /r/RelatedTofootball discipline
construction worker	/r/RelatedTo 	construction worker /r/RelatedToconsultant
manager	/r/RelatedTo 	manager /r/RelatedTopuppet
ceo	/r/RelatedTo 	ceo /r/RelatedTofictional character
accountant	/r/RelatedTo 	accountant /r/RelatedToposition
commander	/r/RelatedTo 	commander /r/RelatedTogeneral
firefighter	/r/RelatedTo 	firefighter /r/RelatedTomarine warfare
mover	/r/RelatedTo 	mover /r/RelatedTohuman body part
software developer	/r/RelatedTo 	software developer /r/RelatedTosoftware developer
guard	/r/RelatedTo 	guard /r/RelatedTohand tool
baker	/r/RelatedTo 	baker /r/RelatedTocinnamon sauce
doctor	/r/RelatedTo 	doctor /r/RelatedTomedical profession
athlete	/r/RelatedTo 	athlete /r/RelatedToathletic qualification
artist	/r/RelatedTo 	artist /r/RelatedTooccupation
dancer	/r/RelatedTo 	dancer /r/RelatedTofisher
mathematician	/r/RelatedTo 	mathematician /r/RelatedTomathematical profession
janitor	/r/RelatedTo 	janitor /r/RelatedTobadminton player
carpenter	/r/RelatedTo 	carpenter /r/RelatedTooccupation
mechanic	/r/RelatedTo 	mechanic /r/RelatedTomechanic
actor	/r/RelatedTo 	actor /r/RelatedTotheatrical character
handyman	/r/RelatedTo 	handyman /r/RelatedTogreeting
musician	/r/RelatedTo 	musician /r/RelatedTomusical profession
detective	/r/RelatedTo 	detective /r/RelatedTodetective
politician	/r/RelatedTo 	politician /r/RelatedTomusician
entrepreneur	/r/RelatedTo 	entrepreneur /r/RelatedToposition
model	/r/RelatedTo 	model /r/RelatedTomodel
opera singer	/r/RelatedTo 	opera singer /r/RelatedToparody singer
chief	/r/RelatedTo 	chief /r/RelatedTolegal term
lawyer	/r/RelatedTo 	lawyer /r/RelatedTolegal professional
farmer	/r/RelatedTo 	farmer /r/RelatedTocricket
writer	/r/RelatedTo 	writer /r/RelatedToposition
librarian	/r/RelatedTo 	librarian /r/RelatedToliterary profession
army	/r/RelatedTo 	army /r/RelatedTodefense unit
real estate developer	/r/RelatedTo 	real estate developer /r/RelatedTooccupation
broker	/r/RelatedTo 	broker /r/RelatedTobanker
scientist	/r/RelatedTo 	scientist /r/RelatedToscholar
butcher	/r/RelatedTo 	butcher /r/RelatedToartistic gymnastics training
electrician	/r/RelatedTo 	electrician /r/RelatedToelectrician
prosecutor	/r/RelatedTo 	prosecutor /r/RelatedTolegal guardian
banker	/r/RelatedTo 	banker /r/RelatedTocricket
cook	/r/RelatedTo 	cook /r/RelatedTobiblical medicine
hairdresser	/r/RelatedTo 	hairdresser /r/RelatedTohair ornament
prisoner	/r/RelatedTo 	prisoner /r/RelatedToprisoner
plumber	/r/RelatedTo 	plumber /r/RelatedToplaster
attorney	/r/RelatedTo 	attorney /r/RelatedTolegal professional
boxer	/r/RelatedTo 	boxer /r/RelatedToboxer
chess player	/r/RelatedTo 	chess player /r/RelatedToscholarly article
priest	/r/RelatedTo 	priest /r/RelatedTopriest
swimmer	/r/RelatedTo 	swimmer /r/RelatedToswimming technique
tennis player	/r/RelatedTo 	tennis player /r/RelatedTosports discipline
supervisor	/r/RelatedTo 	supervisor /r/RelatedTovisor service
attendant	/r/RelatedTo 	attendant /r/RelatedTocustodian
housekeeper	/r/RelatedTo 	housekeeper /r/RelatedTooccupation
maid	/r/RelatedTo 	maid /r/RelatedTohuman figure
producer	/r/RelatedTo 	producer /r/RelatedTofilm crew member
researcher	/r/RelatedTo 	researcher /r/RelatedTovideo game mechanic
midwife	/r/RelatedTo 	midwife /r/RelatedTomotherhood
judge	/r/RelatedTo 	judge /r/RelatedTojudge
umpire	/r/RelatedTo 	umpire /r/RelatedToposition
bartender	/r/RelatedTo 	bartender /r/RelatedTosales
economist	/r/RelatedTo 	economist /r/RelatedToeconomic writer
physicist	/r/RelatedTo 	physicist /r/RelatedTooccupation
psychologist	/r/RelatedTo 	psychologist /r/RelatedTopsychologist
theologian	/r/RelatedTo 	theologian /r/RelatedToscientific method
salesperson	/r/RelatedTo 	salesperson /r/RelatedTocensus entry
physician	/r/RelatedTo 	physician /r/RelatedTophysician
sheriff	/r/RelatedTo 	sheriff /r/RelatedToshelter
cashier	/r/RelatedTo 	cashier /r/RelatedTofinancial professional
assistant	/r/RelatedTo 	assistant /r/RelatedToassistant
receptionist	/r/RelatedTo 	receptionist /r/RelatedTojournalist
editor	/r/RelatedTo 	editor /r/RelatedToeditor
engineer	/r/RelatedTo 	engineer /r/RelatedToship type
comedian	/r/RelatedTo 	comedian /r/RelatedToprofessional
painter	/r/RelatedTo 	painter /r/RelatedTopainting process
civil servant	/r/RelatedTo 	civil servant /r/RelatedTosocial service worker
diplomat	/r/RelatedTo 	diplomat /r/RelatedToforeign policy
guitarist	/r/RelatedTo 	guitarist /r/RelatedTomusic historian
linguist	/r/RelatedTo 	linguist /r/RelatedTogeographical photographer
poet	/r/RelatedTo 	poet /r/RelatedTomusical instrument
laborer	/r/RelatedTo 	laborer /r/RelatedToworkmen group
teacher	/r/RelatedTo 	teacher /r/RelatedToschool teacher
delivery man	/r/RelatedTo 	delivery man /r/RelatedTodelivery industry
realtor	/r/RelatedTo 	realtor /r/RelatedTorescue worker
pilot	/r/RelatedTo 	pilot /r/RelatedToship type
professor	/r/RelatedTo 	professor /r/RelatedToposition
chemist	/r/RelatedTo 	chemist /r/RelatedTooccupation
historian	/r/RelatedTo 	historian /r/RelatedTohistorical material
pensioner	/r/RelatedTo 	pensioner /r/RelatedTooccupation
performing artist	/r/RelatedTo 	performing artist /r/RelatedToartistic profession
singer	/r/RelatedTo 	singer /r/RelatedTosinger
secretary	/r/RelatedTo 	secretary /r/RelatedTolegal practitioner
auditor	/r/RelatedTo 	auditor /r/RelatedToaudit
counselor	/r/RelatedTo 	counselor /r/RelatedTocounseling
designer	/r/RelatedTo 	designer /r/RelatedTodesigner position
soldier	/r/RelatedTo 	soldier /r/RelatedTomilitary rank
journalist	/r/RelatedTo 	journalist /r/RelatedTojournalist
dentist	/r/RelatedTo 	dentist /r/RelatedTomedical technician
analyst	/r/RelatedTo 	analyst /r/RelatedTooccupation
nurse	/r/RelatedTo 	nurse /r/RelatedTomaternity status
tailor	/r/RelatedTo 	tailor /r/RelatedTooccupation
waiter	/r/RelatedTo 	waiter /r/RelatedTooccupation
author	/r/RelatedTo 	author /r/RelatedTohuman lifeform
architect	/r/RelatedTo 	architect /r/RelatedToarchitectural structure
academic	/r/RelatedTo 	academic /r/RelatedToacademic
director	/r/RelatedTo 	director /r/RelatedToposition
illustrator	/r/RelatedTo 	illustrator /r/RelatedToart artist
clerk	/r/RelatedTo 	clerk /r/RelatedToclerk
policeman	/r/RelatedTo 	policeman /r/RelatedTocommandant
chef	/r/RelatedTo 	chef /r/RelatedTochef
photographer	/r/RelatedTo 	photographer /r/RelatedTophotography artist
drawer	/r/RelatedTo 	drawer /r/RelatedTohand tools
cleaner	/r/RelatedTo 	cleaner /r/RelatedTowater filter
pharmacist	/r/RelatedTo 	pharmacist /r/RelatedTopolitical activist
pianist	/r/RelatedTo 	pianist /r/RelatedTophotography supervisor
composer	/r/RelatedTo 	composer /r/RelatedTooccupation
handball player	/r/RelatedTo 	handball player /r/RelatedTohandball player
sociologist	/r/RelatedTo 	sociologist /r/RelatedTopsychologist
african american	/r/UsedFor 	african american /r/UsedForanatomy
armenian	/r/UsedFor 	armenian /r/UsedForcharm
persian	/r/UsedFor 	persian /r/UsedForpersianic
american	/r/UsedFor 	american /r/UsedForanatomical line
filipino	/r/UsedFor 	filipino /r/UsedForpistol
english	/r/UsedFor 	english /r/UsedForlanguage management
norwegian	/r/UsedFor 	norwegian /r/UsedForneo-normativity
dutch	/r/UsedFor 	dutch /r/UsedForfortification
israeli	/r/UsedFor 	israeli /r/UsedForcivil rights
nigerian	/r/UsedFor 	nigerian /r/UsedForsouthern white
ethiopia	/r/UsedFor 	ethiopia /r/UsedForfood poisoning
europe	/r/UsedFor 	europe /r/UsedForsports terminology
european	/r/UsedFor 	european /r/UsedForeuropean policy
russian	/r/UsedFor 	russian /r/UsedFornorthern hemisphere
ukraine	/r/UsedFor 	ukraine /r/UsedForrussian culture
sudan	/r/UsedFor 	sudan /r/UsedForscholarly article
afghanistan	/r/UsedFor 	afghanistan /r/UsedForsources of income
iraq	/r/UsedFor 	iraq /r/UsedFornarrative device
yemen	/r/UsedFor 	yemen /r/UsedForchinese women
ukrainian	/r/UsedFor 	ukrainian /r/UsedFortongue
russia	/r/UsedFor 	russia /r/UsedForice hockey
italy	/r/UsedFor 	italy /r/UsedForhuman-anatomical line
somali	/r/UsedFor 	somali /r/UsedForsouthern hemisphere
iran	/r/UsedFor 	iran /r/UsedForcavity of dorsal part of left external ear
afghan	/r/UsedFor 	afghan /r/UsedForethnic minority
indian	/r/UsedFor 	indian /r/UsedForindie
italian	/r/UsedFor 	italian /r/UsedForsoutheast
australian	/r/UsedFor 	australian /r/UsedForadopted child
spanish	/r/UsedFor 	spanish /r/UsedFormigrant occupation
guatemalan	/r/UsedFor 	guatemalan /r/UsedForhaunted place
hispanic	/r/UsedFor 	hispanic /r/UsedForwhite blood syndrome
venezuela	/r/UsedFor 	venezuela /r/UsedFormusic troupe
sudanese	/r/UsedFor 	sudanese /r/UsedForsmoked meat
oman	/r/UsedFor 	oman /r/UsedFormilitary rank
finnish	/r/UsedFor 	finnish /r/UsedForgeographic terminology
swedish	/r/UsedFor 	swedish /r/UsedForjazz music
venezuelan	/r/UsedFor 	venezuelan /r/UsedForeau de sac
puerto rican	/r/UsedFor 	puerto rican /r/UsedForghetto
ghanaian	/r/UsedFor 	ghanaian /r/UsedForgulfic acid
moroccan	/r/UsedFor 	moroccan /r/UsedForfictional analog of a specific kind of organism
somalia	/r/UsedFor 	somalia /r/UsedForeastern parts of the world
saudi arabian	/r/UsedFor 	saudi arabian /r/UsedForaria
syria	/r/UsedFor 	syria /r/UsedForcotton
chinese	/r/UsedFor 	chinese /r/UsedForchinese food
pakistani	/r/UsedFor 	pakistani /r/UsedForjihadist
china	/r/UsedFor 	china /r/UsedForcheese-and-potatoes fried chicken
india	/r/UsedFor 	india /r/UsedForindian food
irish	/r/UsedFor 	irish /r/UsedFormixed-race population
britain	/r/UsedFor 	britain /r/UsedForbritan
france	/r/UsedFor 	france /r/UsedForclassification in sports
greece	/r/UsedFor 	greece /r/UsedForsemi-freezing zone
scotland	/r/UsedFor 	scotland /r/UsedForshrimp dish
mexican	/r/UsedFor 	mexican /r/UsedForanatomical structure
paraguayan	/r/UsedFor 	paraguayan /r/UsedForgarden decoration
brazil	/r/UsedFor 	brazil /r/UsedForfortified region
african	/r/UsedFor 	african /r/UsedForafrican
eritrean	/r/UsedFor 	eritrean /r/UsedFornatural aging
sierra leonean	/r/UsedFor 	sierra leonean /r/UsedFornature reserve
africa	/r/UsedFor 	africa /r/UsedForfantastic
jordan	/r/UsedFor 	jordan /r/UsedForjoint
indonesia	/r/UsedFor 	indonesia /r/UsedForindonesia
vietnam	/r/UsedFor 	vietnam /r/UsedForcarnival
pakistan	/r/UsedFor 	pakistan /r/UsedForpapal organization
german	/r/UsedFor 	german /r/UsedForarchitectural structure
romania	/r/UsedFor 	romania /r/UsedForromantic comedy
brazilian	/r/UsedFor 	brazilian /r/UsedForcambodian
ecuadorian	/r/UsedFor 	ecuadorian /r/UsedForseminar
mexico	/r/UsedFor 	mexico /r/UsedFormachine-readable file format
puerto rico	/r/UsedFor 	puerto rico /r/UsedFormusical theme
kenyan	/r/UsedFor 	kenyan /r/UsedFormixture
liberian	/r/UsedFor 	liberian /r/UsedForforeigner
cameroonian	/r/UsedFor 	cameroonian /r/UsedForgliding
african americans	/r/UsedFor 	african americans /r/UsedFornigga
kenya	/r/UsedFor 	kenya /r/UsedForchewing noodles
liberia	/r/UsedFor 	liberia /r/UsedForliberated political movement
sierra leon	/r/UsedFor 	sierra leon /r/UsedForleon cluster
qatari	/r/UsedFor 	qatari /r/UsedForparsimony
syrian	/r/UsedFor 	syrian /r/UsedForsyrian culture
arab	/r/UsedFor 	arab /r/UsedForpile
saudi arabia	/r/UsedFor 	saudi arabia /r/UsedForsaudi tree
lebanon	/r/UsedFor 	lebanon /r/UsedForflax and sugar /r/flax ingredient
indonesian	/r/UsedFor 	indonesian /r/UsedForindonesian culture
french	/r/UsedFor 	french /r/UsedForclass of fictional entities
norwegian	/r/UsedFor 	norwegian /r/UsedForalpine region
south africa	/r/UsedFor 	south africa /r/UsedForsubdivision of a single island
jordanian	/r/UsedFor 	jordanian /r/UsedForjordanist
korea	/r/UsedFor 	korea /r/UsedForbouquet
singapore	/r/UsedFor 	singapore /r/UsedForsingapore architecture
romanian	/r/UsedFor 	romanian /r/UsedForanarchist
crimean	/r/UsedFor 	crimean /r/UsedForbadminton
native american	/r/UsedFor 	native american /r/UsedForethnicly-populated region
germany	/r/UsedFor 	germany /r/UsedForscholarly article
ireland	/r/UsedFor 	ireland /r/UsedForterritorial entity
ecuador	/r/UsedFor 	ecuador /r/UsedForpsychology terminology
morocco	/r/UsedFor 	morocco /r/UsedForliterary genre
omani	/r/UsedFor 	omani /r/UsedForplastic
iranian	/r/UsedFor 	iranian /r/UsedForr/DistinctFromyarn of animals
iraqi	/r/UsedFor 	iraqi /r/UsedForguitar playing card
qatar	/r/UsedFor 	qatar /r/UsedForisrae
turkey	/r/UsedFor 	turkey /r/UsedForsausage dish
vietnamese	/r/UsedFor 	vietnamese /r/UsedForvietnamese food
nepali	/r/UsedFor 	nepali /r/UsedFortheatrical genre
laos	/r/UsedFor 	laos /r/UsedFortorture
bangladesh	/r/UsedFor 	bangladesh /r/UsedForpork food
british	/r/UsedFor 	british /r/UsedForpsychology terminology
polish	/r/UsedFor 	polish /r/UsedForcolor
greek	/r/UsedFor 	greek /r/UsedForgarden vegetable
scottish	/r/UsedFor 	scottish /r/UsedForscholarly article
bolivian	/r/UsedFor 	bolivian /r/UsedForbrown
guatemala	/r/UsedFor 	guatemala /r/UsedForguatemarilla salad
ghana	/r/UsedFor 	ghana /r/UsedForjalapeno
cameroon	/r/UsedFor 	cameroon /r/UsedForchine-on dish
japanese	/r/UsedFor 	japanese /r/UsedFordisco culture
taiwanese	/r/UsedFor 	taiwanese /r/UsedFortwins
bengali	/r/UsedFor 	bengali /r/UsedForbengal
nepal	/r/UsedFor 	nepal /r/UsedFornatural food
albanian	/r/UsedFor 	albanian /r/UsedForvigilant
albania	/r/UsedFor 	albania /r/UsedForalbania
columbian	/r/UsedFor 	columbian /r/UsedForcolumbian
peruvian	/r/UsedFor 	peruvian /r/UsedForviolet
argentian	/r/UsedFor 	argentian /r/UsedForposition
spain	/r/UsedFor 	spain /r/UsedForhuman disease
paraguay	/r/UsedFor 	paraguay /r/UsedFordancing competition
ethiopian	/r/UsedFor 	ethiopian /r/UsedForfictional entity
egyptian	/r/UsedFor 	egyptian /r/UsedForbronze
persian people	/r/UsedFor 	persian people /r/UsedFormusical group
sweden	/r/UsedFor 	sweden /r/UsedForcountry of birth
crimea	/r/UsedFor 	crimea /r/UsedForindigenous community
portuguese	/r/UsedFor 	portuguese /r/UsedForportuguese
argentina	/r/UsedFor 	argentina /r/UsedForprobability and proof theory
chile	/r/UsedFor 	chile /r/UsedForsnowboarding
cape verdean	/r/UsedFor 	cape verdean /r/UsedForverdean
turkish	/r/UsedFor 	turkish /r/UsedForturkish flag
yemeni	/r/UsedFor 	yemeni /r/UsedForsoybean
taiwan	/r/UsedFor 	taiwan /r/UsedForarchaeological heritage
austrian	/r/UsedFor 	austrian /r/UsedForbeach volleyball
white people	/r/UsedFor 	white people /r/UsedForwhite people
finland	/r/UsedFor 	finland /r/UsedForwater channel
australia	/r/UsedFor 	australia /r/UsedForcitation database
south african	/r/UsedFor 	south african /r/UsedForwest african
eriteria	/r/UsedFor 	eriteria /r/UsedFornatural geographic object
egypt	/r/UsedFor 	egypt /r/UsedForanimal subspecies
korean	/r/UsedFor 	korean /r/UsedForsaddle race
dutch people	/r/UsedFor 	dutch people /r/UsedFordomestic worker
peru	/r/UsedFor 	peru /r/UsedForfictional planet
poland	/r/UsedFor 	poland /r/UsedForplatopper
chilean	/r/UsedFor 	chilean /r/UsedForcattle meat
columbia	/r/UsedFor 	columbia /r/UsedForregion
bolivia	/r/UsedFor 	bolivia /r/UsedForgravitational phenomenon
laotian	/r/UsedFor 	laotian /r/UsedForliterary genre
lebanese	/r/UsedFor 	lebanese /r/UsedForeggshellfish
japan	/r/UsedFor 	japan /r/UsedFormusic genre
norway	/r/UsedFor 	norway /r/UsedFormusic genre
cape verde	/r/UsedFor 	cape verde /r/UsedForcolor
portugal	/r/UsedFor 	portugal /r/UsedForanatomical structure
austria	/r/UsedFor 	austria /r/UsedForfood processing
singaporean	/r/UsedFor 	singaporean /r/UsedForseapore
netherlands	/r/UsedFor 	netherlands /r/UsedForforefather
she	/r/UsedFor 	she /r/UsedForshe/r/HasContextshe
he	/r/UsedFor 	he /r/UsedForheck
hers	/r/UsedFor 	hers /r/UsedForsemi-automatic pistol
him	/r/UsedFor 	him /r/UsedForman
her	/r/UsedFor 	her /r/UsedForposition
herself	/r/UsedFor 	herself /r/UsedForphilosophical concept
himself	/r/UsedFor 	himself /r/UsedForperson of interest
his	/r/UsedFor 	his /r/UsedForpsychology terminology
woman	/r/UsedFor 	woman /r/UsedForsexual orientation
man	/r/UsedFor 	man /r/UsedForsouthern hemisphere
female	/r/UsedFor 	female /r/UsedForfemale
male	/r/UsedFor 	male /r/UsedFormale gender
lady	/r/UsedFor 	lady /r/UsedForlady
gentleman	/r/UsedFor 	gentleman /r/UsedForlabor historian
ladies	/r/UsedFor 	ladies /r/UsedFormusical group
gentlemen	/r/UsedFor 	gentlemen /r/UsedForoccupation
girl	/r/UsedFor 	girl /r/UsedForfemale character
boy	/r/UsedFor 	boy /r/UsedForoccupation
sir	/r/UsedFor 	sir /r/UsedFormusic genre
ma am	/r/UsedFor 	ma am /r/UsedForoccupation
mother	/r/UsedFor 	mother /r/UsedFormale human
father	/r/UsedFor 	father /r/UsedForfather-in-law of a single parent
stepmother	/r/UsedFor 	stepmother /r/UsedForcousin
stepfather	/r/UsedFor 	stepfather /r/UsedForfather
daughter	/r/UsedFor 	daughter /r/UsedFordaughter person
son	/r/UsedFor 	son /r/UsedForassimilation
sister	/r/UsedFor 	sister /r/UsedForkinship
brother	/r/UsedFor 	brother /r/UsedFormother
grandmother	/r/UsedFor 	grandmother /r/UsedFormother-in-law
grandfather	/r/UsedFor 	grandfather /r/UsedForlegal father
mommy	/r/UsedFor 	mommy /r/UsedForanimal food
daddy	/r/UsedFor 	daddy /r/UsedFordaddy
wife	/r/UsedFor 	wife /r/UsedForpersonality type
husband	/r/UsedFor 	husband /r/UsedForfather-in-law
bride	/r/UsedFor 	bride /r/UsedForcellular response to oxygen delivery
groom	/r/UsedFor 	groom /r/UsedForgroom /r/garden furniture
girlfriend	/r/UsedFor 	girlfriend /r/UsedForgroup therapy
boyfriend	/r/UsedFor 	boyfriend /r/UsedForchess terminology
schoolgirl	/r/UsedFor 	schoolgirl /r/UsedForsociology term
schoolboy	/r/UsedFor 	schoolboy /r/UsedForcage-playing game
sharia	/r/UsedFor 	sharia /r/UsedForsalary
jihad	/r/UsedFor 	jihad /r/UsedFormusical composition
christian	/r/UsedFor 	christian /r/UsedForchristian
muslim	/r/UsedFor 	muslim /r/UsedFormuslim and health
islam	/r/UsedFor 	islam /r/UsedForbiblical literary genre
hindu	/r/UsedFor 	hindu /r/UsedForsnowboarding
mohammed	/r/UsedFor 	mohammed /r/UsedFormechanism
church	/r/UsedFor 	church /r/UsedForchurch building
quran	/r/UsedFor 	quran /r/UsedForscholarly article
bible	/r/UsedFor 	bible /r/UsedForbiblical literature
brahmin	/r/UsedFor 	brahmin /r/UsedForchipping stone
holy trinity	/r/UsedFor 	holy trinity /r/UsedForreligious symbolism
barber	/r/UsedFor 	barber /r/UsedForhouse musician
coach	/r/UsedFor 	coach /r/UsedForposition
businessperson	/r/UsedFor 	businessperson /r/UsedForpublic law
football player	/r/UsedFor 	football player /r/UsedForinternational hockey player
construction worker	/r/UsedFor 	construction worker /r/UsedForoccupation
manager	/r/UsedFor 	manager /r/UsedForaccount manager
ceo	/r/UsedFor 	ceo /r/UsedForceo
accountant	/r/UsedFor 	accountant /r/UsedForfinancial analyst
commander	/r/UsedFor 	commander /r/UsedForposition
firefighter	/r/UsedFor 	firefighter /r/UsedForaircraft component
mover	/r/UsedFor 	mover /r/UsedFormotorsport officer
software developer	/r/UsedFor 	software developer /r/UsedForsoftware developer
guard	/r/UsedFor 	guard /r/UsedForarchitectural structure
baker	/r/UsedFor 	baker /r/UsedForcooking fluid
doctor	/r/UsedFor 	doctor /r/UsedFormedical professional
athlete	/r/UsedFor 	athlete /r/UsedForsports profession
artist	/r/UsedFor 	artist /r/UsedForfictional object
dancer	/r/UsedFor 	dancer /r/UsedFornursery
mathematician	/r/UsedFor 	mathematician /r/UsedFormathematical education
janitor	/r/UsedFor 	janitor /r/UsedForcoke collector
carpenter	/r/UsedFor 	carpenter /r/UsedForcarpentry
mechanic	/r/UsedFor 	mechanic /r/UsedFormedical specialty
actor	/r/UsedFor 	actor /r/UsedFormusical group
handyman	/r/UsedFor 	handyman /r/UsedForpawn
musician	/r/UsedFor 	musician /r/UsedFormusical profession
detective	/r/UsedFor 	detective /r/UsedForcriminal
politician	/r/UsedFor 	politician /r/UsedForpartisan
entrepreneur	/r/UsedFor 	entrepreneur /r/UsedForoccupation
model	/r/UsedFor 	model /r/UsedFormachine learning
opera singer	/r/UsedFor 	opera singer /r/UsedFormusical occupation
chief	/r/UsedFor 	chief /r/UsedForaccountability researcher
lawyer	/r/UsedFor 	lawyer /r/UsedForlegal scholar
farmer	/r/UsedFor 	farmer /r/UsedForfirst cousin
writer	/r/UsedFor 	writer /r/UsedFormusic term
librarian	/r/UsedFor 	librarian /r/UsedForlibrarian
army	/r/UsedFor 	army /r/UsedForbowling
real estate developer	/r/UsedFor 	real estate developer /r/UsedForreal estate management
broker	/r/UsedFor 	broker /r/UsedForoccupation
scientist	/r/UsedFor 	scientist /r/UsedForanalyst
butcher	/r/UsedFor 	butcher /r/UsedForfurniture style
electrician	/r/UsedFor 	electrician /r/UsedForelectrical connection
prosecutor	/r/UsedFor 	prosecutor /r/UsedForprosecutor
banker	/r/UsedFor 	banker /r/UsedForcredit card
cook	/r/UsedFor 	cook /r/UsedForcooking tip
hairdresser	/r/UsedFor 	hairdresser /r/UsedForcotton
prisoner	/r/UsedFor 	prisoner /r/UsedForprisoner
plumber	/r/UsedFor 	plumber /r/UsedForoccupation
attorney	/r/UsedFor 	attorney /r/UsedForlegal specialist
boxer	/r/UsedFor 	boxer /r/UsedFormusical instrument holder
chess player	/r/UsedFor 	chess player /r/UsedForchess terminology
priest	/r/UsedFor 	priest /r/UsedForprefecture
swimmer	/r/UsedFor 	swimmer /r/UsedForswimming pool
tennis player	/r/UsedFor 	tennis player /r/UsedForoccupation
supervisor	/r/UsedFor 	supervisor /r/UsedForsupervisor
attendant	/r/UsedFor 	attendant /r/UsedForcoupling
housekeeper	/r/UsedFor 	housekeeper /r/UsedForhousekeeping
maid	/r/UsedFor 	maid /r/UsedForlunar warfare
producer	/r/UsedFor 	producer /r/UsedForfilmmaking technique
researcher	/r/UsedFor 	researcher /r/UsedForresearsal
midwife	/r/UsedFor 	midwife /r/UsedFormidwife
judge	/r/UsedFor 	judge /r/UsedForcourtship
umpire	/r/UsedFor 	umpire /r/UsedFormount-iron
bartender	/r/UsedFor 	bartender /r/UsedFormusical instrument
economist	/r/UsedFor 	economist /r/UsedForacademic
physicist	/r/UsedFor 	physicist /r/UsedForoccupation
psychologist	/r/UsedFor 	psychologist /r/UsedForpsychologist
theologian	/r/UsedFor 	theologian /r/UsedForaspect of science
salesperson	/r/UsedFor 	salesperson /r/UsedForsportsperson
physician	/r/UsedFor 	physician /r/UsedFormedical student
sheriff	/r/UsedFor 	sheriff /r/UsedForpolice officer
cashier	/r/UsedFor 	cashier /r/UsedForcomputer forensics terminology
assistant	/r/UsedFor 	assistant /r/UsedForassociate
receptionist	/r/UsedFor 	receptionist /r/UsedForreceptionist
editor	/r/UsedFor 	editor /r/UsedForphilosophy of mathematics
engineer	/r/UsedFor 	engineer /r/UsedForoccupation
comedian	/r/UsedFor 	comedian /r/UsedForcomedian
painter	/r/UsedFor 	painter /r/UsedForpainting wood
civil servant	/r/UsedFor 	civil servant /r/UsedForhuman who holds profession
diplomat	/r/UsedFor 	diplomat /r/UsedFordiplomacy
